fen,best
1rb5/4r3/3p1npb/3kp1P1/1P3P1P/5nR1/2Q1BK2/bN4NR w - - 3 61,c2c4
rn1q2n1/b3k1pr/pp1pB1Qp/2p1p1P1/2P1PP2/5R1P/P2P4/RNB1K3 w - - 1 24,g6f7
8/3r3k/NP1p4/p2QP1P1/1BB3Pp/1R4n1/6K1/5R2 w - - 5 82,d5g8
1nr1r3/n4Q2/P1kp2N1/2p3B1/1pp3P1/6P1/1R2P2R/K5N1 w - - 3 43,f7b7
7Q/3Bk3/2P1p3/4P2P/7b/5K2/B7/1b6 w - - 3 78,h8e8
8/kP6/4QbB1/3P4/P5P1/6Np/1R2P3/3N3K w - - 7 88,b7b8q
4kb2/3nppr1/5q2/1PQP2pp/2B4P/1p2p1Pb/2PN4/2B1K2R w - - 5 33,c5c8
k2b4/rp6/8/p3PB2/P1b1P2n/nPK1Ppr1/5R1P/R1BQ4 w - - 2 61,d1d8
2qkr3/rb1n4/3P2p1/Npp1ppNp/P1P1PbPP/2K5/1P2B1R1/3RQ3 w - - 1 51,g5f7
2R5/k7/p7/P2P3R/3P4/B7/4p1p1/Kn6 w - - 0 88,h5h7
5r2/8/2n5/1P1pP3/1B3Qpk/R7/3P4/3K4 w - - 0 82,f4h6
1Rb1k2r/2npppb1/r2q1n1p/p1p4P/P1P2N2/8/3Pp1PR/2BQKBN1 w k - 2 19,b8c8
4k3/7p/5Q2/2p4p/p1P5/1B6/2K5/R7 w - - 0 71,b3a4
b1nk4/1Q6/8/1R1pNpbP/1Pr1P2r/2P2R2/3BKP2/8 w - - 6 63,b7d7
3r1bn1/2N1k1r1/pQ3pp1/2qp1P1p/4p3/N1P4P/b2PPRK1/2B2B2 w - - 3 40,b6e6